id,category,question,guidance
1,happiness,"Що таке справжнє щастя для вас двох?","Поділіться своїм розумінням щастя. Чи це миттєві радощі чи глибоке задоволення? Як ваші уявлення про щастя змінювались з роками?"
2,meaning,"У чому ви бачите сенс свого життя?","Розкажіть про те що надає значущості вашому існуванню. Чи змінювався ваш життєвий сенс? Як стосунки впливають на розуміння призначення?"
3,values,"Які цінності найважливіші у ваших стосунках?","Обговоріть фундаментальні принципи що керують вашим життям разом. Чи збігаються ваші цінності? Як їх формували?"
4,growth,"Як ви змінилися завдяки стосункам?","Поділіться тим як партнер вплинув на ваш особистісний розвиток. Що нового відкрили в собі? Які якості розвинули?"
5,time,"Як ви розумієте плинність часу в стосунках?","Розкажіть про сприйняття часу коли разом. Чи минають години непомітно? Як цінуєте спільні моменти знаючи що вони скінченні?"
6,legacy,"Що хочете залишити після себе як пара?","Обговоріть вашу спадщину для світу. Це діти, творчість, добрі справи? Як хочете щоб вас пам'ятали?"
7,freedom,"Що означає свобода у відносинах?","Поділіться розумінням балансу між близькістю та незалежністю. Чи можна бути вільним і одночасно глибоко зв'язаним з іншою людиною?"
8,truth,"Чи завжди варто говорити правду партнеру?","Розкажіть про межі чесності в стосунках. Чи є правда що може зашкодити? Коли мовчання виправдане?"
9,beauty,"Що ви вважаєте справжньою красою?","Обговоріть ваше розуміння прекрасного. Це зовнішність, душа, моменти? Як краса партнера змінювалась у ваших очах?"
10,mortality,"Як усвідомлення смертності впливає на ваше життя?","Поділіться тим як розуміння скінченності життя змінює пріоритети. Чи робить це кожен день ціннішим?"
11,forgiveness,"Що означає справжнє прощення?","Розкажіть про ваш досвід прощення в стосунках. Чи можна простити все? Що потрібно для відпускання образ?"
12,gratitude,"За що ви найбільше вдячні в житті?","Обговоріть найцінніші дари що отримали. Як вдячність впливає на ваші стосунки? Чи часто висловлюєте подяку?"
13,purpose,"Чи змінилося ваше життєве призначення після знайомства?","Поділіться тим як стосунки вплинули на розуміння власної місії. Чи з'явилися нові цілі? Як підтримуєте мрії один одного?"
14,wisdom,"Яка найважливіша життєва мудрість якою володієте?","Розкажіть про найцінніші уроки життя. Що навчило вас любити краще? Яку мудрість хочете передати іншим?"
15,balance,"Як знаходите баланс між особистим та спільним?","Обговоріть гармонію між індивідуальними потребами та парними цілями. Чи складно узгоджувати різні аспекти життя?"
