id,prize
1,"Переможець ділиться своєю найглибшою життєвою мудрістю з кожним гравцем"
2,"Усі гравці розповідають переможцю про його найкращу якість характеру"
3,"Переможець обирає хто має поділитися своєю найбільшою мрією"
4,"Переможець дає кожному життєву пораду на основі їхньої особистості"
5,"Усі мають розповісти переможцю про момент, коли він їх надихнув"
6,"Переможець вибирає тему для глибокої медитації на 3 хвилини"
7,"Гравці діляться з переможцем своїми найважливішими життєвими принципами"
8,"Переможець отримує право поставити кожному філософське питання"
9,"Усі розповідають переможцю про найважливіший урок що отримали від нього"
10,"Переможець обирає хто має розповісти про свій найсчасливіший момент"
11,"Гравці мають описати переможця як мудреця з далекого минулого"
12,"Переможець ділиться своїм баченням ідеального світу"
13,"Усі розповідають про якість переможця, яку хотіли б розвинути в собі"
14,"Переможець вибирає кому довірити свій найглибший страх"
15,"Гравці мають розповісти переможцю про його вплив на їхнє життя"
16,"Переможець дає кожному персональне напутствіння на майбутнє"
17,"Усі ділятся з переможцем своїми найзаповітнішими мріями"
18,"Переможець обирає тему для групової дискусії про сенс життя"
19,"Гравці розповідають переможцю про моменти, коли пишалися ним"
20,"Переможець ділиться своєю філософією щастя"
21,"Усі мають описати переможця як героя власної життєвої історії"
22,"Переможець вибирає хто має розповісти про свою найбільшу помилку та урок з неї"
23,"Гравці ділятся з переможцем своїми найглибшими цінностями"
24,"Переможець дає кожному завдання для саморозвитку"
25,"Усі розповідають переможцю про те, чого навчилися завдяки йому"
26,"Переможець обирає кому розповісти про свій найскладніший життєвий вибір"
27,"Гравці мають описати переможця як джерело натхнення"
28,"Переможець ділиться своїм рецептом подолання труднощів"
29,"Усі розповідають про момент, коли переможець проявив мудрість"
30,"Переможець вибирає тему для обговорення про справжню дружбу"
31,"Гравці ділятся з переможцем своїми страхами та сподіваннями"
32,"Переможець дає кожному особистий комплімент про їхній характер"
33,"Усі мають розповісти переможцю про його роль у їхньому житті"
34,"Переможець обирає хто має поділитися історією про подолання перешкод"
35,"Гравці описують переможця як автора мудрої книги про життя"
36,"Переможець ділиться своїм баченням ідеальних стосунків"
37,"Усі розповідають переможцю про те, за що йому вдячні"
38,"Переможець вибирає кому довірити свою найзаповітнішу мрію"
39,"Гравці мають описати переможця як філософа сучасності"
40,"Переможець дає кожному пораду як знайти свій шлях у житті"
41,"Усі ділятся з переможцем своїми роздумами про справжні цінності"
42,"Переможець обирає тему для розмови про те, що робить життя варте проживання"
43,"Гравці розповідають переможцю про моменти, коли він був прикладом для них"
44,"Переможець ділиться своїм розумінням справжньої любові"
45,"Усі мають описати переможця як людину, яка змінила їхнє світобачення"
46,"Переможець вибирає хто має розповісти про свою найважливішу життєву зміну"
47,"Гравці ділятся з переможцем своїми думками про сенс існування"
48,"Переможець дає кожному благословення та побажання"
49,"Усі розповідають переможцю про те, яким вони його бачать через 10 років"
50,"Переможець стає 'мудрецем вечора' та дає всім життєві поради"
