id,category,question,guidance
1,social,"Які сексуальні табу в сучасному суспільстві давно пора зняти?","Поговоріть про суспільні заборони що впливають на ваше життя. Чи відчуваєте тиск через стереотипи? Які табу здаються застарілими та обмежують особисту свободу?"
2,social,"Чи має секс бути освітнім процесом в суспільстві?","Обговоріть роль сексуальної освіти в формуванні здорових стосунків. Чи достатньо говорять про інтимність в нашій культурі? Що дізналися через власний досвід?"
3,social,"Як медіа та порно впливають на ваші очікування від сексу?","Розкажіть про вплив фільмів, порно та соцмереж на уявлення про інтимність. Чи намагаєтесь відтворювати побачене? Як відрізнити фантазію від реальності?"
4,social,"Чи може секс існувати без емоційної прив'язаності?","Поділіться думками про фізичне задоволення проти емоційної близькості. Що цінніше для вас? Де проводите межі між сексом та коханням?"
5,social,"Як технології змінюють інтимність між людьми?","Обговоріть вплив смартфонів та онлайн-знайомств на близькість. Це еволюція чи деградація? Що технології дають стосункам, а що забирають?"
6,social,"Чи впливає релігія на ваше сприйняття сексуальності?","Розкажіть про конфлікт між релігійними переконаннями та сексуальними потребами. Чи можна поєднати глибоку віру з вільним сексуальним самовираженням?"
7,social,"Як ви ставитесь до ідеї відкритих стосунків?","Обговоріть різні моделі стосунків. Чи природно людині мати одного партнера все життя? Які виклики несуть альтернативні форми любові?"
8,social,"Чи має суспільство право диктувати що є 'нормальним' в сексі?","Поговоріть про межі між приватністю та громадською мораллю. Хто визначає норми сексуальної поведінки? Як захистити право на сексуальну свободу?"
9,social,"Як ви ставитесь до комерціалізації сексу?","Обговоріть етику секс-індустрії від порно до ескорт-послуг. Чи знецінює комерція секс як вираження любові? Як це впливає на звичайні стосунки?"
10,social,"Чи повинні діти отримувати сексуальну освіту в школі?","Поділіться думками про баланс між захистом дитинства та підготовкою до дорослого життя. З якого віку? Хто має викладати - батьки чи школа?"
11,social,"Як зміни в суспільстві вплинули на ваші стосунки?","Розкажіть про еволюцію гендерних ролей та їх вплив на інтимність. Чи стали стосунки більш рівноправними? Що змінилося на краще?"
12,social,"Чи впливають соціальні мережі на вашу самооцінку в сексі?","Обговоріть тиск перфектних фото та стандартів краси. Чи порівнюєте себе з іншими онлайн? Як захистити самооцінку від токсичних впливів?"
13,social,"Як карантин змінив вашу інтимність?","Поділіться досвідом обмежень та їх впливу на близькість. Чи допомогла ізоляція зблизитися або навпаки? Що дізналися про себе за цей час?"
14,social,"Чи важлива різниця в освіті для сексуальної сумісності?","Розкажіть про роль інтелектуальної близькості в стосунках. Чи впливає рівень освіти на якість спілкування про інтимність?"
15,social,"Як фемінізм змінив ваше розуміння сексу?","Обговоріть еволюцію поглядів на жіночу сексуальність та рівноправність. Чи стали стосунки більш відкритими для жіночих потреб?"
16,social,"Чи має значення фінансова незалежність для якості сексу?","Поділіться думками про зв'язок між економічною свободою та сексуальною. Чи впливає фінансовий стрес на інтимність?"
17,social,"Як ваша культура формує уявлення про секс?","Розкажіть про культурні традиції та їх вплив на інтимність. Чи легко подолати культурні обмеження? Що приймаєте, а що відкидаєте?"
18,social,"Чи може міжрасове кохання мати особливості в сексі?","Обговоріть культурні відмінності та їх роль у близькості. Чи є специфічні виклики або переваги в таких стосунках?"
