id,prize
1,"Переможець робить найкрінжовіший танець що знає протягом 1 хвилини"
2,"Усі гравці розповідають переможцю свою найсоромнішу дитячу історію"
3,"Переможець обирає хто має заспівати дитячу пісеньку з танцями"
4,"Переможець показує свою найгіршу імітацію знаменитості"
5,"Усі мають розповісти переможцю про свій найкрінжовіший момент в школі"
6,"Переможець вибирає хто має говорити дитячим голосом 10 хвилин"
7,"Гравці по черзі роблять переможцю найдурніші компліменти"
8,"Переможець показує як танцював на шкільних дискотеках"
9,"Усі розповідають переможцю про найдивнішу моду що носили"
10,"Переможець обирає хто має зробити селфі з найдурнішою міміко"
11,"Гравці мають показати переможцю свої найгірші жести з підліткових років"
12,"Переможець співає караоке найгіршим голосом що може"
13,"Усі розповідають про найкрінжовіший момент на побаченнях"
14,"Переможець вибирає хто має розказати анекдот з 90-х"
15,"Гравці показують переможцю свої найсмішніші фото з дитинства (якщо є)"
16,"Переможець робить імітацію своїх батьків коли вони сваряться"
17,"Усі мають зізнатися переможцю в найдурнішій покупці що робили"
18,"Переможець обирає хто має станцювати 'Макарену'"
19,"Гравці розповідають переможцю про найгірші зачіски що мали"
20,"Переможець показує як флірував в підлітковому віці"
21,"Усі мають описати переможця як персонажа дитячого мультика"
22,"Переможець вибирає хто має говорити тільки римами 5 хвилин"
23,"Гравці показують переможцю свої найдивніші звички з дитинства"
24,"Переможець робить імітацію реклами з 2000-х"
25,"Усі розповідають переможцю про найкрінжовіші повідомлення що писали"
26,"Переможець обирає хто має зобразити типового блогера"
27,"Гравці мають розповісти переможцю про свої найдурніші страхи"
28,"Переможець показує як би виглядав у реаліті-шоу"
29,"Усі зізнаються переможцю в найгіршій музиці що слухали"
30,"Переможець вибирає хто має розповісти історію голосом мультяшки"
31,"Гравці показують переможцю свої найкрінжовіші пости в соцмережах"
32,"Переможець робить презентацію 'Чому я найкращий' з серйозним виглядом"
33,"Усі мають зізнатися переможцю в найдурнішому що робили заради уваги"
34,"Переможець обирає хто має зобразити ідеального тіктокера"
35,"Гравці розповідають переможцю про найсмішніші помилки у вимові"
36,"Переможець показує свій найгірший танець на весіллі"
37,"Усі мають описати переможця як героя низькобюджетного фільму"
38,"Переможець вибирає хто має заспівати гімн України оперним голосом"
39,"Гравці зізнаються переможцю в найкрінжовіших іменах що придумували для дітей"
40,"Переможець робить імітацію свого вчителя з школи"
41,"Усі розповідають переможцю про найдурніші теорії змови в які вірили"
42,"Переможець обирає хто має розказати сон у стилі абсурдного фільму"
43,"Гравці показують переможцю як ходили коли вчилися ходити на підборах"
44,"Переможець співає дитячу пісеньку з драматичним виразом"
45,"Усі мають зізнатися переможцю в найгірших подарунках що дарували"
46,"Переможець вибирає хто має зробити мотиваційну промову про переваги бути огірком"
47,"Гравці розповідають переможцю про найкрінжовіші фази через які проходили"
48,"Переможець показує як би виступав на талант-шоу у 7 років"
49,"Усі мають описати переможця як автора найгіршої книги року"
50,"Переможець стає 'експертом з крінжу' та коментує всі дії інших на вечір"
