id,category,question,guidance
1,sexual,"Чи робили ви коли-небудь вигляд що спите коли батьки займалися сексом за стіною?","Поділіться дитячими спогадами про дивні звуки вночі. Як довго притворялися? Чи розуміли що відбувається?"
2,sexual,"Якби ваші геніталії були персонажами Disney, хто б це був?","Уявіть найабсурдніші асоціації з мультфільмами. Чому саме цей персонаж? Які характеристики збігаються?"
3,sexual,"Чи мастурбували ви коли-небудь і раптом згадували про бабусю?","Розкажіть про найнедоречніші думки в інтимні моменти. Як швидко переключалися? Чи зіпсувало це настрій?"
4,sexual,"Якби ви могли займатися сексом тільки під одну пісню все життя - яку б обрали?","Придумайте саундтрек для всього інтимного життя. Чи набридне мелодія? Як би це впливало на настрій?"
5,sexual,"Чи фантазували коли-небудь про секс з учителем фізкультури зі школи?","Поділіться підлітковими фантазіями про заборонених дорослих. Що найбільше приваблювало? Чи досі пам'ятаєте того вчителя?"
6,sexual,"Який найгірший псевдонім для геніталій ви використовували в дитинстві?","Розкажіть про кумедні дитячі назви для інтимних частин тіла. Звідки взялися ці слова? Коли зрозуміли що це смішно?"
7,sexual,"Чи траплялося що під час мастурбації дзвонили батьки і ви відповідали?","Поділіться моментами коли довелося терміново перемикатися на розмову. Чи помічали що ви задихаєтеся? Про що говорили?"
8,sexual,"Якби секс був як відеогра, які досягнення хотіли б отримати?","Придумайте ігрові нагороди за інтимні подвиги. Які рівні складності існували б? Що було б боссом фінального рівня?"
9,sexual,"Чи снилися вам еротичні сни про персонажів з мультфільмів?","Розкажіть про найдивніші об'єкти підсвідомого збудження. Хто це був? Що робили у сні? Як почувалися прокинувшись?"
10,sexual,"Якби ваше перше заняття сексом було олімпійською дисципліною, яке місце б зайняли?","Оцініть свій дебют за спортивними критеріями. За що зняли б бали? Які технічні помилки були найочевиднішими?"
11,food,"Чи їли ви коли-небудь щось що впало на підлогу, але підняли і з'їли?","Розкажіть про правило 5 секунд у вашому житті. Що найгірше піднімали з підлоги? Чи жалкували потім?"
12,embarrassing,"Який найсоромніший момент був у вас в громадському транспорті?","Поділіться незграбними ситуаціями в автобусі чи метро. Що сталося? Чи бачили знайомі?"
13,childhood,"Чи вірили ви в дитинстві в щось абсолютно абсурдне?","Розкажіть про дивні дитячі переконання. У що вірили? Коли зрозуміли що це неправда?"
14,social,"Чи називали ви коли-небудь когось не тим ім'ям упродовж довгого часу?","Поділіться моментами коли плутали імена. Як довго це тривало? Як дізналися про помилку?"
15,hygiene,"Чи носили ви коли-небудь одну білизну декілька днів поспіль?","Розкажіть про моменти лінощів з гігієною. Скільки днів було максимум? Чи хтось помічав?"
16,weird_habits,"Яку найдивнішу звичку маєте коли думаєте ніхто не бачить?","Поділіться таємними дивацтвами. Що робите наодинці? Чи застукав вас хтось?"
17,food,"Чи змішували ви коли-небудь їжу у дивних комбінаціях?","Розкажіть про найабсурдніші кулінарні експерименти. Що змішували? Чи було смачно?"
18,awkward,"Чи махали ви коли-небудь людині яка махала не вам?","Поділіться незграбними соціальними ситуаціями. Як довго махали? Чи зрозуміли свою помилку?"
19,bathroom,"Чи розмовляли ви коли-небудь сами з собою в туалеті?","Розкажіть про найдивніші монологи в ванній. Про що говорили? Чи хтось чув?"
20,childhood,"Чи боялися ви коли-небудь якогось дивного персонажа з реклами?","Поділіться дитячими страхами від телевізора. Що лякало? Чи досі відчуваєте дискомфорт?"
21,social,"Чи притворялися ви що не бачите знайомого на вулиці?","Розкажіть про моменти соціального ухилення. Чому уникали? Чи помітили вас?"
22,weird_thoughts,"Яка найабсурдніша думка приходила вам в голову під час серйозної розмови?","Поділіться недоречними думками у важливі моменти. Про що думали? Чи вдавалося зосередитися?"
23,embarrassing,"Чи засинали ви коли-небудь в найнедоречніший момент?","Розкажіть про соромні моменти сну. Де заснули? Хто бачив? Як прокидалися?"
24,bodily_functions,"Чи робили ви коли-небудь дуже голосний звук тілом в тиші?","Поділіться моментами коли тіло підвело. Що сталося? Як реагували оточуючі?"
25,food,"Чи їли ви коли-небудь корм для тварин з цікавості?","Розкажіть про дегустацію заборонених продуктів. Що пробували? Який був смак?"
