id,prize
1,"Переможець обирає будь-яке одне бажання — і його виконують (у межах вечора)"
2,"Усі гравці 2 хвилини хвалять переможця від душі (без іронії)"
3,"Переможець обирає, хто має зробити йому масаж шиї або плечей"
4,"Переможець задає одне відверте питання кожному гравцю"
5,"Переможець вигадує нове прізвисько для кожного гравця на решту вечора"
6,"Інші мають зробити переможцю комплімент у формі вірша"
7,"Переможець отримує поцілунок на щоку від кожного гравця"
8,"Усі розповідають про еротичну якість переможця, яку найбільше цінують"
9,"Переможець обирає одну людину, з ким має провести 5 хвилин «наодинці» (інтимно, але не обов'язково сексуально)"
10,"Переможець має право на одне «вето» — не відповідати на наступне запитання"
11,"Переможець влаштовує рольову сценку, інші в ній грають за його/її сценарієм"
12,"Інші гравці мають зробити «серйозне зізнання» переможцю — вигадане або правдиве"
13,"Переможець вигадує нову гру, яка триватиме 5 хвилин (танець, розповідь, завдання)"
14,"Інші влаштовують для переможця міні-сцену захоплення (аплодисменти, поклони)"
15,"Переможець отримує звання «Король/Королева відвертості» до кінця вечора"
16,"Інші мають звертатися до переможця «пане/пані тілесного блаженства» на наступне запитання"
17,"Переможець диктує нові правила на 5 хвилин (у рамках етикету)"
18,"Гравці мають сказати, яку сцену з переможцем вони б зняли в еротичному фільмі"
19,"Усі гравці дарують переможцю обійми з побажанням на ніч"
20,"Переможець отримує «право першої руки» — починає наступну гру або фразу"
21,"Інші мають виконати для переможця пісню або міні-танець"
22,"Переможець вибирає, хто має відкрити свою еротичну фантазію прямо зараз"
23,"Інші мають 30 секунд говорити щось приємне не зупиняючись"
24,"Переможець вигадує новий жарт або фразу, якою інші мають завершити гру"
25,"Переможець має придумати кожному завдання на вечір"
26,"Усі інші кажуть одне слово, що асоціюється з переможцем — чесно"
27,"Гравці мають зізнатися, чи фантазували про переможця (серйозно або жартома)"
28,"Переможець вибирає 2 гравців, які мають станцювати разом"
29,"Усі мають зізнатися, за що могли б закохатися в переможця"
30,"Переможець отримує таємний лист — гравці шепочуть на вухо щось інтимне (але ніжне)"
31,"Гравці мають сказати, яку тварину в сексі нагадує переможець (і чому)"
32,"Переможець отримує 1 хвилину тиші — всі мають мовчати і слухати його/її думку"
33,"Інші мають зобразити еротичну сцену з переможцем (мімікою чи жестами)"
34,"Переможець вигадує одне «табу» — і його мають дотримуватись 5 хвилин"
35,"Усі гравці мають описати ідеальний вечір з переможцем"
36,"Інші дарують переможцю свою еротичну фразу (в стилі компліменту)"
37,"Переможець може змінити одне з правил гри — прямо зараз"
38,"Гравці мають сказати, в чому переможець найсексуальніший"
39,"Усі мають зобразити, як переможець виглядав би в порно (одним словом чи фразою)"
40,"Інші мають придумати легенду про сексуальну силу переможця"
41,"Переможець отримує 1 хвилину тілесної уваги (обійми, дотик, масаж)"
42,"Гравці мають описати переможця як фантастичну істоту любові"
43,"Інші дають переможцю еротичне ім'я — і звертаються так до кінця вечора"
44,"Переможець вибирає музику і змушує всіх танцювати (навіть повільно)"
45,"Усі дарують переможцю одне бажання — готують його на завтра"
46,"Переможець має право обрати нову тему для обговорення (будь-яку)"
47,"Гравці мають вимовити прізвище переможця в стилі порно-фільму"
48,"Інші гравці описують, яким духом або ароматом був би переможець"
49,"Усі мають назвати позу, яка асоціюється з переможцем (жартівливо або еротично)"
50,"Переможець обирає кому робити стриптиз (символічний, в одязі)"
51,"Усі мають розповісти про свою найсміливішу мрію з переможцем"
52,"Переможець може поставити одне особисте запитання кожному наодинці"
53,"Інші мають описати переможця трьома еротичними епітетами"
54,"Переможець вигадує нову позу для групового фото"
55,"Гравці мають зізнатися в найдивнішій думці про переможця"
56,"Переможець отримує право на безкарне кокетство з ким завгодно"
57,"Усі мають сказати, що б зробили з переможцем на безлюдному острові"
58,"Переможець вибирає хто має розповісти йому інтимний секрет"
59,"Інші влаштовують переможцю «аукціон компліментів» — хто більше скаже"
60,"Переможець диктує позу, в якій всі мають сидіти наступні 10 хвилин"
61,"Гравці мають описати переможця як героя еротичного роману"
62,"Переможець отримує особистого «раба» на 15 хвилин (хто виконує дрібні бажання)"
63,"Усі мають зізнатися, яку частину тіла переможця найбільше помічають"
64,"Переможець вибирає двох людей для постановки романтичної сцени"
65,"Інші мають придумати переможцю еротичний псевдонім для соцмереж"
66,"Переможець отримує право на «поцілунки долі» — цілує кого хоче в щоку"
67,"Гравці мають описати переможця як покровителя певної еротичної практики"
68,"Переможець вигадує правило етикету, яке діє до кінця вечора"
69,"Усі мають сказати, які слова переможець використовує найсексуальніше"
70,"Переможець обирає хто має зробити йому комплімент мовою тіла"
71,"Інші влаштовують переможцю «парад захоплення» — проходять повз і хвалять"
72,"Переможець може призначити собі «міністра розваг» з числа гравців"
73,"Гравці мають розповісти, в якій казці переможець був би головним героем"
74,"Переможець отримує право змінити настрій музики в кімнаті"
75,"Усі мають описати переможця як божество кохання з власною легендою"
76,"Переможець вибирає хто має показати свій найсексуальніший жест"
77,"Інші дарують переможцю по одному слові-афродизіаку"
78,"Переможець влаштовує «суд над серцями» — вирішує хто кого підкорює"
79,"Гравці мають зізнатися, що найбільше дратує в переможці (але сексуально)"
80,"Переможець отримує трон (найкраще місце) і корону з підручних засобів"
81,"Усі мають описати переможця як персонажа інстаграм-блогу про кохання"
